PREPROCESSOR #
IDENTIFIER include
LESSTHAN <
IDENTIFIER fdsf
GREATERTHAN >
INT int
IDENTIFIER main
OPENPARENTHESE (
CLOSEPARENTHESE )
LEFTBRACE {
INT int
IDENTIFIER plus
ASSIGNMENT =
NUMBER 16
PLUS +
NUMBER 32
SEMICOLON ;
INT int
IDENTIFIER minus
ASSIGNMENT =
NUMBER 342
MINUS -
NUMBER 5322
SEMICOLON ;
INT int
IDENTIFIER sdfa
ASSIGNMENT =
NUMBER 324
MULTIPLICATION *
NUMBER 98
SEMICOLON ;
INT int
IDENTIFIER fsaf
ASSIGNMENT =
NUMBER 97
DIVISION /
NUMBER 89
SEMICOLON ;
INT int
IDENTIFIER qwer
ASSIGNMENT =
NUMBER 986
MODULO %
NUMBER 239
SEMICOLON ;
DOUBLE double
IDENTIFIER ff
ASSIGNMENT =
DECIMAL 88.99
SEMICOLON ;
IDENTIFIER a
GREATERTHAN >
IDENTIFIER b
SEMICOLON ;
IDENTIFIER a
LESSTHAN <
IDENTIFIER b
SEMICOLON ;
RIGHTBRACE }
